"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"537534","22686","FRENCH BLUE METAL DOOR SIGN No",2,"2010-12-07 11:48:00",0,NA,"United Kingdom"
"541435","84279P","CHERRY BLOSSOM  DECORATIVE FLASK",4,"2011-01-18 10:28:00",3.75,13898,"United Kingdom"
"576644","22634","CHILDS BREAKFAST SET SPACEBOY ",1,"2011-11-16 10:01:00",19.96,NA,"United Kingdom"
"547937","84569D","PACK 6 HEART/ICE-CREAM PATCHES",3,"2011-03-28 14:27:00",1.25,15068,"United Kingdom"
"569401","23130","MISTLETOE HEART WREATH GREEN",4,"2011-10-04 08:56:00",4.15,15111,"United Kingdom"
"553013","21917","SET 12 KIDS  WHITE CHALK STICKS",1,"2011-05-12 18:19:00",0.83,NA,"United Kingdom"
"569257","23404","HOME SWEET HOME BLACKBOARD",2,"2011-10-03 11:24:00",3.26,18102,"United Kingdom"
"564647","23154","SET OF 4 JAM JAR MAGNETS",1,"2011-08-26 13:56:00",2.08,17920,"United Kingdom"
"539631","21802","CHRISTMAS TREE HEART DECORATION",5,"2010-12-20 15:03:00",0.43,NA,"United Kingdom"
"550138","22224","WHITE LOVEBIRD LANTERN",4,"2011-04-14 14:02:00",2.95,12841,"United Kingdom"
"537240","22294","HEART FILIGREE DOVE  SMALL",2,"2010-12-06 10:08:00",2.51,NA,"United Kingdom"
"559816","21581","SKULLS  DESIGN  COTTON TOTE BAG",4,"2011-07-12 16:11:00",1.63,NA,"United Kingdom"
"553652","20826","",-168,"2011-05-18 11:06:00",0,NA,"United Kingdom"
"568049","15056BL","EDWARDIAN PARASOL BLACK",1,"2011-09-23 12:38:00",5.95,17841,"United Kingdom"
"540168","35911B","PINK/FLOWER RABBIT EGG WARMER ",3,"2011-01-05 12:15:00",2.1,13715,"United Kingdom"
"542266","22654","DELUXE SEWING KIT ",3,"2011-01-26 17:37:00",5.95,16918,"United Kingdom"
"537396","20772","GARDEN PATH JOURNAL",1,"2010-12-06 14:08:00",2.55,17223,"United Kingdom"
"574672","35910B","PINK FLOWERS RABBIT EASTER",1,"2011-11-06 12:25:00",1.95,13532,"United Kingdom"
"561515","22147","FELTCRAFT BUTTERFLY HEARTS",1,"2011-07-27 15:16:00",3.29,NA,"United Kingdom"
"579711","23352","ROLL WRAP 50'S RED CHRISTMAS ",1,"2011-11-30 14:17:00",1.25,15060,"United Kingdom"
"541830","22452","MEASURING TAPE BABUSHKA PINK",2,"2011-01-21 17:09:00",1.63,NA,"United Kingdom"
"567901","22274","FELTCRAFT DOLL EMILY",1,"2011-09-22 16:28:00",5.79,NA,"United Kingdom"
"540026","90188","DROP EARRINGS W FLOWER & LEAF",1,"2011-01-04 13:25:00",2.54,NA,"United Kingdom"
"580730","23324","RUSTIC STRAWBERRY JAM POT LARGE ",2,"2011-12-05 17:28:00",4.13,NA,"United Kingdom"
"547250","21033","JUMBO BAG CHARLIE AND LOLA TOYS",1,"2011-03-22 09:30:00",4.13,NA,"United Kingdom"
"539246","21934","SKULL SHOULDER BAG",1,"2010-12-16 13:33:00",1.65,14606,"United Kingdom"
"568095","22307","GOLD MUG BONE CHINA TREE OF LIFE",24,"2011-09-23 14:49:00",1.25,14911,"EIRE"
"548920","22418","10 COLOUR SPACEBOY PEN",24,"2011-04-05 10:19:00",0.85,13018,"United Kingdom"
"575935","23275","SET OF 3 HANGING OWLS OLLIE BEAK",24,"2011-11-13 11:20:00",1.25,17838,"United Kingdom"
"578533","23491","VINTAGE JINGLE BELLS HEART",1,"2011-11-24 14:42:00",8.25,17767,"United Kingdom"
"556819","23053","RECYCLED ACAPULCO MAT PINK",2,"2011-06-15 10:21:00",8.25,12682,"France"
"551558","22659","LUNCH BOX I LOVE LONDON",1,"2011-05-03 10:41:00",1.95,17841,"United Kingdom"
"567183","22371","AIRLINE BAG VINTAGE TOKYO 78",1,"2011-09-18 15:32:00",4.25,14769,"United Kingdom"
"570872","84568","GIRLS ALPHABET IRON ON PATCHES ",6,"2011-10-12 16:40:00",0.42,NA,"United Kingdom"
"554948","20728","LUNCH BAG CARS BLUE",10,"2011-05-27 14:29:00",1.65,14447,"United Kingdom"
"548388","23155","KNICKERBOCKERGLORY MAGNET ASSORTED ",6,"2011-03-30 16:52:00",0.83,13268,"United Kingdom"
"571940","23354","6 GIFT TAGS 50'S CHRISTMAS ",12,"2011-10-20 09:57:00",0.83,15301,"United Kingdom"
"564838","21407","BROWN CHECK CAT DOORSTOP ",1,"2011-08-30 12:43:00",8.29,NA,"United Kingdom"
"552332","20717","STRAWBERRY SHOPPER BAG",10,"2011-05-09 10:24:00",1.25,13908,"United Kingdom"
"576196","22585","PACK OF 6 BIRDY GIFT TAGS",24,"2011-11-14 12:07:00",1.25,17658,"United Kingdom"
"544077","21175","GIN + TONIC DIET METAL SIGN",1,"2011-02-15 15:04:00",2.55,14825,"United Kingdom"
"572911","23090","VINTAGE GLASS T-LIGHT HOLDER",24,"2011-10-26 16:03:00",0.83,16345,"United Kingdom"
"575070","22053","EMPIRE DESIGN ROSETTE",1,"2011-11-08 12:58:00",1.25,17841,"United Kingdom"
"538942","22835","HOT WATER BOTTLE I AM SO POORLY",2,"2010-12-15 11:14:00",4.65,17346,"United Kingdom"
"547663","22727","ALARM CLOCK BAKELIKE RED ",2,"2011-03-24 13:16:00",3.75,16022,"United Kingdom"
"547870","85062","PEARL CRYSTAL PUMPKIN T-LIGHT HLDR",6,"2011-03-27 14:18:00",1.65,13668,"United Kingdom"
"C574507","22699","ROSES REGENCY TEACUP AND SAUCER ",-1,"2011-11-04 13:24:00",2.95,15345,"United Kingdom"
"544597","85123A","WHITE HANGING HEART T-LIGHT HOLDER",3,"2011-02-21 17:42:00",2.95,16014,"United Kingdom"
"C567690","20725","LUNCH BAG RED RETROSPOT",-9,"2011-09-21 17:01:00",1.65,15810,"United Kingdom"
"570720","22617","BAKING SET SPACEBOY DESIGN",6,"2011-10-12 10:50:00",4.95,17934,"United Kingdom"
"569518","23236","STORAGE TIN VINTAGE DOILY ",3,"2011-10-04 14:28:00",2.89,13263,"United Kingdom"
"545321","21136","PAINTED METAL PEARS ASSORTED",16,"2011-03-01 14:53:00",1.69,12747,"United Kingdom"
"570126","23406","HOME SWEET HOME KEY HOLDER",1,"2011-10-07 13:16:00",6.25,16910,"United Kingdom"
"540473","22926","IVORY GIANT GARDEN THERMOMETER",4,"2011-01-07 14:31:00",5.95,17284,"United Kingdom"
"552508","20723","STRAWBERRY CHARLOTTE BAG",2,"2011-05-09 16:27:00",1.63,NA,"United Kingdom"
"577768","23285","PINK VINTAGE SPOT BEAKER",1,"2011-11-21 15:18:00",1.63,NA,"United Kingdom"
"549851","23007"," SPACEBOY BABY GIFT SET",6,"2011-04-12 15:08:00",14.95,16062,"United Kingdom"
"548289","22916","HERB MARKER THYME",12,"2011-03-30 11:48:00",0.65,13988,"United Kingdom"
"539309","22779","WOODEN OWLS LIGHT GARLAND ",4,"2010-12-16 17:49:00",4.25,16945,"United Kingdom"
"549316","22907","PACK OF 20 NAPKINS PANTRY DESIGN",12,"2011-04-08 09:54:00",0.85,12705,"Germany"
"573585","21166","COOK WITH WINE METAL SIGN ",5,"2011-10-31 14:41:00",4.13,NA,"United Kingdom"
"566757","22478","BIRDHOUSE GARDEN MARKER ",4,"2011-09-14 15:54:00",2.46,NA,"United Kingdom"
"559424","35961","FOLKART ZINC HEART CHRISTMAS DEC",24,"2011-07-08 12:14:00",0.85,18121,"United Kingdom"
"567671","15058C","ICE CREAM DESIGN GARDEN PARASOL",1,"2011-09-21 15:34:00",10.79,NA,"United Kingdom"
"579440","23115","RED APPLES CHOPPING BOARD   ",3,"2011-11-29 13:32:00",4.95,14388,"United Kingdom"
"547910","37444B","BLUE BREAKFAST CUP AND SAUCER ",1,"2011-03-28 12:23:00",2.95,14159,"United Kingdom"
"569720","23369","SET 36 COLOUR PENCILS LOVE LONDON",1,"2011-10-06 09:11:00",1.25,14646,"Netherlands"
"579091","21705","BAG 500g SWIRLY MARBLES",12,"2011-11-28 10:49:00",1.65,14893,"United Kingdom"
"552710","22714","CARD BIRTHDAY COWBOY",24,"2011-05-11 07:35:00",0.42,13098,"United Kingdom"
"571283","22961","JAM MAKING SET PRINTED",4,"2011-10-16 13:51:00",1.45,16533,"United Kingdom"
"581217","23426","METAL SIGN DROP YOUR PANTS",1,"2011-12-08 09:20:00",5.79,NA,"United Kingdom"
"536982","20711","JUMBO BAG TOYS ",19,"2010-12-03 14:27:00",4.21,NA,"United Kingdom"
"547066","21042","RED RETROSPOT APRON ",3,"2011-03-20 13:41:00",5.95,12921,"United Kingdom"
"579096","23280","FOLDING BUTTERFLY MIRROR HOT PINK ",12,"2011-11-28 11:07:00",0.83,15561,"United Kingdom"
"562528","22583","PACK OF 6 HANDBAG GIFT BOXES",6,"2011-08-05 13:52:00",2.55,12610,"Italy"
"543013","22487","WHITE WOOD GARDEN PLANT LADDER",1,"2011-02-02 13:35:00",19.96,NA,"United Kingdom"
"558475","22032","BOTANICAL LILY GREETING CARD",1,"2011-06-29 15:58:00",0.42,NA,"United Kingdom"
"570488","21739","COSY SLIPPER SHOES SMALL GREEN",2,"2011-10-10 17:12:00",2.46,14096,"United Kingdom"
"540995","21878","PACK OF 6 SANDCASTLE FLAGS ASSORTED",1,"2011-01-13 09:30:00",1.63,NA,"United Kingdom"
"570000","22197","POPCORN HOLDER",12,"2011-10-07 08:55:00",0.85,12420,"Cyprus"
"572860","22109","FULL ENGLISH BREAKFAST PLATE",4,"2011-10-26 12:42:00",3.75,17470,"United Kingdom"
"574856","21934","SKULL SHOULDER BAG",1,"2011-11-07 12:06:00",3.29,NA,"United Kingdom"
"537334","22468","BABUSHKA LIGHTS STRING OF 10",1,"2010-12-06 12:06:00",6.75,16719,"United Kingdom"
"576860","22732","3D VINTAGE CHRISTMAS STICKERS ",3,"2011-11-16 15:58:00",1.25,17602,"United Kingdom"
"C561011","POST","POSTAGE",-1,"2011-07-22 16:05:00",3.15,17612,"United Kingdom"
"576121","22155","STAR DECORATION RUSTIC",255,"2011-11-14 10:38:00",0.42,14530,"United Kingdom"
"544803","22329","ROUND CONTAINER SET OF 5 RETROSPOT",1,"2011-02-23 14:29:00",1.65,14606,"United Kingdom"
"580727","84580","MOUSE TOY WITH PINK T-SHIRT",1,"2011-12-05 17:17:00",4.13,14096,"United Kingdom"
"543193","21936","RED RETROSPOT PICNIC BAG",5,"2011-02-04 12:18:00",2.95,13725,"United Kingdom"
"C541863","37449","CERAMIC CAKE STAND + HANGING CAKES",-2,"2011-01-23 16:08:00",8.5,13798,"United Kingdom"
"555925","21212","PACK OF 72 RETROSPOT CAKE CASES",1,"2011-06-07 17:13:00",1.25,NA,"United Kingdom"
"549023","23177","TREASURE ISLAND BOOK BOX",1,"2011-04-05 16:27:00",4.58,NA,"United Kingdom"
"544093","48188","DOORMAT WELCOME PUPPIES",2,"2011-02-16 09:08:00",7.95,13750,"United Kingdom"
"570113","16225","RATTLE SNAKE EGGS",1,"2011-10-07 12:31:00",1.25,15874,"United Kingdom"
"553860","22819","BIRTHDAY CARD, RETRO SPOT",12,"2011-05-19 13:57:00",0.42,17841,"United Kingdom"
"568788","23307","SET OF 60 PANTRY DESIGN CAKE CASES ",2,"2011-09-29 09:23:00",0.55,17894,"United Kingdom"
"559888","20723","STRAWBERRY CHARLOTTE BAG",20,"2011-07-13 11:47:00",0.85,16450,"United Kingdom"
"550280","22457","NATURAL SLATE HEART CHALKBOARD ",4,"2011-04-15 13:31:00",2.95,13048,"United Kingdom"
"540848","22200","FRYING PAN PINK POLKADOT",1,"2011-01-12 09:26:00",8.47,NA,"United Kingdom"
"573585","22095","LADS ONLY TISSUE BOX",2,"2011-10-31 14:41:00",2.46,NA,"United Kingdom"
"565765","22556","PLASTERS IN TIN CIRCUS PARADE ",12,"2011-09-06 14:19:00",1.65,12526,"Germany"
"547122","22720","SET OF 3 CAKE TINS PANTRY DESIGN ",3,"2011-03-21 11:52:00",4.95,17678,"United Kingdom"
"551997","21080","SET/20 RED RETROSPOT PAPER NAPKINS ",2,"2011-05-05 15:47:00",1.63,NA,"United Kingdom"
"550781","84563B","BLUE & WHITE BREAKFAST TRAY",8,"2011-04-20 13:43:00",2.95,13097,"United Kingdom"
"548715","22906","12 MESSAGE CARDS WITH ENVELOPES",6,"2011-04-03 15:22:00",1.65,17758,"United Kingdom"
"575930","21242","RED RETROSPOT PLATE ",6,"2011-11-11 17:58:00",3.29,NA,"United Kingdom"
"575183","22297","HEART IVORY TRELLIS SMALL",24,"2011-11-09 08:36:00",1.25,13046,"United Kingdom"
"545681","22356","CHARLOTTE BAG PINK POLKADOT",7,"2011-03-06 11:28:00",0.85,16923,"United Kingdom"
"577358","22809","SET OF 6 T-LIGHTS SANTA",1,"2011-11-18 15:59:00",5.79,NA,"United Kingdom"
"551817","84279B","CHERRY BLOSSOM DECORATIVE FLASK",1,"2011-05-04 11:50:00",3.75,17974,"United Kingdom"
"557645","21884","CAKES AND BOWS GIFT  TAPE",1,"2011-06-21 17:08:00",1.63,NA,"United Kingdom"
"576859","21531","RED RETROSPOT SUGAR JAM BOWL",6,"2011-11-16 15:56:00",2.1,18167,"United Kingdom"
"545545","22753","SMALL YELLOW BABUSHKA NOTEBOOK ",1,"2011-03-03 15:02:00",0.85,17841,"United Kingdom"
"568567","22944","CHRISTMAS METAL POSTCARD WITH BELLS",6,"2011-09-27 18:41:00",0.97,NA,"United Kingdom"
"557973","84879","ASSORTED COLOUR BIRD ORNAMENT",16,"2011-06-24 10:26:00",1.69,12955,"United Kingdom"
"560723","22751","FELTCRAFT PRINCESS OLIVIA DOLL",1,"2011-07-20 13:53:00",3.75,16464,"United Kingdom"
"560568","23298","SPOTTY BUNTING",9,"2011-07-19 14:03:00",4.95,13895,"United Kingdom"
"551997","23207","LUNCH BAG ALPHABET DESIGN",1,"2011-05-05 15:47:00",1.65,NA,"United Kingdom"
"548555","22090","PAPER BUNTING RETROSPOT",12,"2011-04-01 09:21:00",2.95,13758,"United Kingdom"
"557595","22992","REVOLVER WOODEN RULER ",2,"2011-06-21 11:19:00",1.95,15507,"United Kingdom"
"560696","21902","KEY FOB , FRONT  DOOR ",2,"2011-07-20 12:14:00",0.65,14606,"United Kingdom"
"563589","20685","DOORMAT RED RETROSPOT",20,"2011-08-17 19:40:00",8,17450,"United Kingdom"
"568048","84946","ANTIQUE SILVER T-LIGHT GLASS",12,"2011-09-23 12:36:00",1.25,14911,"EIRE"
"544795","22815","CARD PSYCHEDELIC APPLES",12,"2011-02-23 13:21:00",0.42,15858,"United Kingdom"
"578146","22727","ALARM CLOCK BAKELIKE RED ",4,"2011-11-23 11:07:00",3.75,13742,"United Kingdom"
"558628","23256","CHILDRENS CUTLERY SPACEBOY ",8,"2011-06-30 17:59:00",4.15,12626,"Germany"
"571286","21908","CHOCOLATE THIS WAY METAL SIGN",1,"2011-10-16 14:35:00",2.1,14547,"United Kingdom"
"567853","23156","SET OF 5 MINI GROCERY MAGNETS",6,"2011-09-22 13:31:00",2.08,15484,"United Kingdom"
"552624","23053","RECYCLED ACAPULCO MAT PINK",1,"2011-05-10 12:53:00",8.25,14505,"United Kingdom"
"553044","22554","PLASTERS IN TIN WOODLAND ANIMALS",12,"2011-05-13 09:24:00",1.65,12682,"France"
"581219","23357","HOT WATER BOTTLE SEX BOMB",2,"2011-12-08 09:28:00",10.79,NA,"United Kingdom"
"579256","21746","SMALL RED RETROSPOT WINDMILL",12,"2011-11-29 08:07:00",1.25,13349,"United Kingdom"
"538597","82494L","WOODEN FRAME ANTIQUE WHITE ",6,"2010-12-13 12:26:00",2.95,15555,"United Kingdom"
"567975","23033","DRAWER KNOB CERAMIC RED",12,"2011-09-23 10:25:00",1.45,17416,"United Kingdom"
"548400","48184","DOORMAT ENGLISH ROSE ",2,"2011-03-30 17:33:00",7.95,17400,"United Kingdom"
"576508","21823","PAINTED METAL HEART WITH HOLLY BELL",1,"2011-11-15 12:02:00",0.39,17777,"United Kingdom"
"567890","22731","3D CHRISTMAS STAMPS STICKERS ",18,"2011-09-22 15:40:00",1.25,14125,"United Kingdom"
"537773","21992","VINTAGE PAISLEY STATIONERY SET",1,"2010-12-08 12:36:00",2.95,16016,"United Kingdom"
"537638","84970S","HANGING HEART ZINC T-LIGHT HOLDER",3,"2010-12-07 15:28:00",2.13,NA,"United Kingdom"
"575177","22735","RIBBON REEL SOCKS AND MITTENS",1,"2011-11-08 18:41:00",3.29,NA,"United Kingdom"
"541830","22390","PAPERWEIGHT CHILDHOOD MEMORIES",2,"2011-01-21 17:09:00",4.96,NA,"United Kingdom"
"556121","22449","SILK PURSE BABUSHKA PINK",5,"2011-06-09 10:09:00",3.35,15855,"United Kingdom"
"573937","22207","FRYING PAN UNION FLAG",4,"2011-11-02 10:40:00",4.25,15830,"United Kingdom"
"580043","21238","RED RETROSPOT CUP",8,"2011-12-01 12:25:00",0.85,14527,"United Kingdom"
"573585","23269","SET OF 2 CERAMIC CHRISTMAS TREES",4,"2011-10-31 14:41:00",2.92,NA,"United Kingdom"
"544434","22332","SKULLS PARTY BAG + STICKER SET",3,"2011-02-18 16:12:00",3.29,NA,"United Kingdom"
"550914","21672","WHITE SPOT RED CERAMIC DRAWER KNOB",12,"2011-04-21 13:29:00",1.25,17061,"United Kingdom"
"555518","20886","BOX OF 9 PEBBLE CANDLES",6,"2011-06-05 10:58:00",1.95,14891,"United Kingdom"
"560772","35923","CANDY HEART HANGING DECORATION",9,"2011-07-20 16:12:00",0.83,NA,"United Kingdom"
"564856","22199","FRYING PAN RED RETROSPOT",8,"2011-08-31 09:11:00",4.25,12477,"Germany"
"578359","23581","JUMBO BAG PAISLEY PARK",100,"2011-11-24 10:35:00",1.79,14607,"United Kingdom"
"559907","22305","COFFEE MUG PINK PAISLEY DESIGN",6,"2011-07-13 13:37:00",2.55,12766,"Portugal"
"572195","21217","RED RETROSPOT ROUND CAKE TINS",2,"2011-10-21 11:49:00",9.95,14562,"United Kingdom"
"553686","22559","SEASIDE FLYING DISC",12,"2011-05-18 13:58:00",1.25,14911,"EIRE"
"572280","84536A","ENGLISH ROSE NOTEBOOK A7 SIZE",6,"2011-10-23 11:05:00",0.42,16007,"United Kingdom"
"552710","23144","ZINC T-LIGHT HOLDER STARS SMALL",24,"2011-05-11 07:35:00",0.83,13098,"United Kingdom"
"563848","84991","60 TEATIME FAIRY CAKE CASES",24,"2011-08-19 14:57:00",0.55,14911,"EIRE"
"577315","23434","3 RAFFIA RIBBONS 50'S CHRISTMAS ",10,"2011-11-18 13:25:00",0.79,17811,"United Kingdom"
"580729","22821","GIFT BAG PSYCHEDELIC APPLES",1,"2011-12-05 17:24:00",0.83,NA,"United Kingdom"
"545333","22264","FELT FARM ANIMAL WHITE BUNNY ",1,"2011-03-01 16:22:00",1.63,NA,"United Kingdom"
"543467","21294","ETCHED GLASS COASTER",2,"2011-02-08 14:35:00",2.46,NA,"United Kingdom"
"565209","22961","JAM MAKING SET PRINTED",2,"2011-09-01 16:59:00",1.45,15910,"United Kingdom"
"549257","21062","PARTY INVITES SPACEMAN",1,"2011-04-07 12:29:00",0.85,14465,"United Kingdom"
"553879","85099B","JUMBO BAG RED RETROSPOT",10,"2011-05-19 15:15:00",1.95,15791,"United Kingdom"
"541292","22196","SMALL HEART MEASURING SPOONS",12,"2011-01-17 13:30:00",0.85,15596,"United Kingdom"
"548801","72741","GRAND CHOCOLATECANDLE",72,"2011-04-04 12:44:00",1.25,15289,"United Kingdom"
"576189","22271","FELTCRAFT DOLL ROSIE",2,"2011-11-14 11:33:00",2.95,14684,"United Kingdom"
"560181","23144","ZINC T-LIGHT HOLDER STARS SMALL",12,"2011-07-15 11:45:00",0.83,16621,"United Kingdom"
"539414","21623","VINTAGE UNION JACK MEMOBOARD",1,"2010-12-17 13:45:00",9.95,16931,"United Kingdom"
"559318","16225","RATTLE SNAKE EGGS",4,"2011-07-07 14:08:00",1.25,18013,"United Kingdom"
"548665","21382","SET/4 SPRING FLOWER DECORATION",6,"2011-04-01 14:53:00",2.95,14854,"United Kingdom"
"554492","22429","ENAMEL MEASURING JUG CREAM",3,"2011-05-24 13:56:00",4.25,13168,"United Kingdom"
"571036","23403","LETTER HOLDER HOME SWEET HOME",4,"2011-10-13 12:52:00",3.75,17567,"United Kingdom"
"564150","22377","BOTTLE BAG RETROSPOT ",5,"2011-08-23 12:30:00",2.1,14936,"Channel Islands"
"568058","23318","BOX OF 6 MINI VINTAGE CRACKERS",6,"2011-09-23 12:58:00",2.49,18188,"United Kingdom"
"568505","47580","TEA TIME DES TEA COSY",1,"2011-09-27 12:17:00",2.55,15311,"United Kingdom"
"581492","22809","SET OF 6 T-LIGHTS SANTA",1,"2011-12-09 10:03:00",5.79,NA,"United Kingdom"
"538945","22423","REGENCY CAKESTAND 3 TIER",16,"2010-12-15 11:22:00",10.95,17230,"United Kingdom"
"560841","22948","METAL DECORATION NAUGHTY CHILDREN ",24,"2011-07-21 12:25:00",0.72,14298,"United Kingdom"
"576379","23201","JUMBO BAG ALPHABET",10,"2011-11-15 09:21:00",2.08,16423,"United Kingdom"
"543713","22083","PAPER CHAIN KIT RETROSPOT",1,"2011-02-11 11:46:00",6.63,NA,"United Kingdom"
"565434","21509","COWBOYS AND INDIANS BIRTHDAY CARD ",12,"2011-09-04 13:35:00",0.42,12867,"United Kingdom"
"571444","23437"," 50'S CHRISTMAS GIFT BAG LARGE",12,"2011-10-17 13:44:00",1.25,18179,"United Kingdom"
"568709","22348","TEA BAG PLATE RED RETROSPOT",1,"2011-09-28 15:42:00",0.85,15036,"United Kingdom"
"550208","21430","SET/3 RED GINGHAM ROSE STORAGE BOX",1,"2011-04-15 10:39:00",7.46,NA,"United Kingdom"
"544434","23006","TRAVEL CARD WALLET FLOWER MEADOW",2,"2011-02-18 16:12:00",0.83,NA,"United Kingdom"
"541813","21108","FAIRY CAKE FLANNEL ASSORTED COLOUR",9,"2011-01-21 15:36:00",2.55,18239,"United Kingdom"
"549929","15058B","PINK POLKADOT GARDEN PARASOL",4,"2011-04-13 10:32:00",7.95,13740,"United Kingdom"
"540355","22086","PAPER CHAIN KIT 50'S CHRISTMAS ",2,"2011-01-06 15:11:00",6.77,NA,"United Kingdom"
"550542","22760","TRAY, BREAKFAST IN BED",1,"2011-04-19 11:37:00",24.96,NA,"United Kingdom"
"554694","84596B","SMALL DOLLY MIX DESIGN ORANGE BOWL",3,"2011-05-25 17:06:00",0.83,NA,"United Kingdom"
"548708","22933","BAKING MOULD EASTER EGG MILK CHOC",1,"2011-04-03 12:41:00",2.95,13269,"United Kingdom"
"575188","23076","ICE CREAM SUNDAE LIP GLOSS",24,"2011-11-09 09:07:00",1.25,16759,"United Kingdom"
"540509","22418","10 COLOUR SPACEBOY PEN",12,"2011-01-09 11:27:00",0.85,14800,"United Kingdom"
"568154","23322","LARGE WHITE HEART OF WICKER",2,"2011-09-25 12:06:00",2.95,13787,"United Kingdom"
"545716","21754","HOME BUILDING BLOCK WORD",1,"2011-03-07 10:15:00",11.63,NA,"United Kingdom"
"553538","21034","REX CASH+CARRY JUMBO SHOPPER",2,"2011-05-17 15:26:00",0.95,15855,"United Kingdom"
"578140","22295","HEART FILIGREE DOVE LARGE",216,"2011-11-23 10:58:00",1.45,14646,"Netherlands"
"578171","16161U","WRAP SUKI AND FRIENDS",25,"2011-11-23 11:36:00",0.42,17685,"United Kingdom"
"572775","23370","SET 36 COLOURING PENCILS DOILY",16,"2011-10-26 10:43:00",1.25,13126,"United Kingdom"
"549123","22994","TRAVEL CARD WALLET RETROSPOT",24,"2011-04-06 14:02:00",0.42,15201,"United Kingdom"
"581216","22599","CHRISTMAS MUSICAL ZINC STAR",48,"2011-12-08 09:06:00",0.29,16523,"United Kingdom"
"559513","22907","PACK OF 20 NAPKINS PANTRY DESIGN",2,"2011-07-08 15:56:00",0.85,14534,"United Kingdom"
"575070","23220","REINDEER HEART DECORATION GOLD",2,"2011-11-08 12:58:00",0.83,17841,"United Kingdom"
"576840","22865","HAND WARMER OWL DESIGN",4,"2011-11-16 15:23:00",4.13,NA,"United Kingdom"
"564740","23240","SET OF 4 KNICK KNACK TINS DOILY ",1,"2011-08-28 14:39:00",4.15,14044,"United Kingdom"
"544940","21039","RED RETROSPOT SHOPPING BAG",6,"2011-02-25 10:19:00",2.55,16592,"United Kingdom"
"575929","21733","RED HANGING HEART T-LIGHT HOLDER",6,"2011-11-11 17:23:00",2.95,13310,"United Kingdom"
"573375","21238","RED RETROSPOT CUP",8,"2011-10-30 13:42:00",0.85,15521,"United Kingdom"
"548334","21523","DOORMAT FANCY FONT HOME SWEET HOME",2,"2011-03-30 13:56:00",7.95,18108,"United Kingdom"
"580393","17012D","ORIGAMI ROSE INCENSE/CANDLE SET ",2,"2011-12-04 10:51:00",0.85,16438,"United Kingdom"
"537334","22941","CHRISTMAS LIGHTS 10 REINDEER",1,"2010-12-06 12:06:00",8.5,16719,"United Kingdom"
"580958","22766","PHOTO FRAME CORNICE",2,"2011-12-06 14:30:00",2.95,17266,"United Kingdom"
"549940","20828","GLITTER BUTTERFLY CLIPS",48,"2011-04-13 11:48:00",2.1,13694,"United Kingdom"
"553727","47590A","BLUE HAPPY BIRTHDAY BUNTING",3,"2011-05-18 16:56:00",5.45,13531,"United Kingdom"
"570592","21668","RED STRIPE CERAMIC DRAWER KNOB",4,"2011-10-11 11:37:00",3.29,NA,"United Kingdom"
"551439","22303","COFFEE MUG APPLES DESIGN",12,"2011-04-28 15:26:00",2.55,14758,"United Kingdom"
"568650","20675","BLUE POLKADOT BOWL",16,"2011-09-28 11:56:00",1.25,13505,"Switzerland"
